"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25604","addNewGoalTest","","Mon Jun 30 16:51:02 GMT 2025","passed","Mon Jun 30 16:51:28 GMT 2025","","com.starry.greenstash.tests.AddNewGoalTest","com.starry.greenstash.tests.AddNewGoalTest","addNewGoalTest"
"","24178","editGoalTest","","Mon Jun 30 16:51:33 GMT 2025","passed","Mon Jun 30 16:51:57 GMT 2025","","com.starry.greenstash.tests.EditGoalTest","com.starry.greenstash.tests.EditGoalTest","editGoalTest"
