--------- beginning of main
06-30 17:26:26.123  2811  3084 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'SavingGoalConfirmButton'); position: 0; useUnmergedTree: false.
06-30 17:26:26.162  2811  3084 I KASPRESSO: Operation: Perform=PERFORM_CLICK(description={null}).
06-30 17:26:26.162  2811  3084 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'SavingGoalConfirmButton'); position: 0; useUnmergedTree: false.
06-30 17:26:26.215  2811  3084 I KASPRESSO: TEST STEP: "4. Save the new goal" in AddNewGoalTest SUCCEED. It took 0 minutes, 0 seconds and 653 millis. 
06-30 17:26:26.215  2811  3084 I KASPRESSO: ___________________________________________________________________________
06-30 17:26:26.913  2811  3084 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.AddNewGoalTest/addNewGoalTest/AddNewGoalTest_step_4.png
06-30 17:26:26.914  2811  3084 I KASPRESSO: ___________________________________________________________________________
06-30 17:26:26.914  2811  3084 I KASPRESSO: TEST STEP: "5. Verify that the goal was added" in AddNewGoalTest
06-30 17:26:26.915  2811  3084 I KASPRESSO: Operation: Check=IS_DISPLAYED(description={null}).
06-30 17:26:26.915  2811  3084 I KASPRESSO: ComposeInteraction: matcher: Empty matcher; position: 0; useUnmergedTree: false.
06-30 17:26:30.117  2811  3084 I KASPRESSO: ___________________________________________________________________________
06-30 17:26:30.117  2811  3084 I KASPRESSO: TEST STEP: "5.1. Check that the goal title is displayed" in AddNewGoalTest
06-30 17:26:30.118  2811  3084 I KASPRESSO: Operation: Check=ASSERT_TEXT_EQUALS(description={null}).
06-30 17:26:30.118  2811  3084 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'GoalTitleText'); position: 0; useUnmergedTree: false.
06-30 17:26:30.135  2811  3084 I KASPRESSO: TEST STEP: "5.1. Check that the goal title is displayed" in AddNewGoalTest SUCCEED. It took 0 minutes, 0 seconds and 18 millis. 
06-30 17:26:30.135  2811  3084 I KASPRESSO: ___________________________________________________________________________
06-30 17:26:30.512  2811  3084 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.AddNewGoalTest/addNewGoalTest/AddNewGoalTest_step_6.png
06-30 17:26:30.513  2811  3084 I KASPRESSO: ___________________________________________________________________________
06-30 17:26:30.513  2811  3084 I KASPRESSO: TEST STEP: "5.2. Check that the target amount is correct" in AddNewGoalTest
06-30 17:26:30.514  2811  3084 I KASPRESSO: Operation: Check=ASSERT_TEXT_CONTAINS(description={null}).
06-30 17:26:30.514  2811  3084 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'GoalStatusText'); position: 0; useUnmergedTree: false.
06-30 17:26:30.533  2811  3084 I KASPRESSO: TEST STEP: "5.2. Check that the target amount is correct" in AddNewGoalTest SUCCEED. It took 0 minutes, 0 seconds and 20 millis. 
06-30 17:26:30.534  2811  3084 I KASPRESSO: ___________________________________________________________________________
06-30 17:26:30.799  2811  3084 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.AddNewGoalTest/addNewGoalTest/AddNewGoalTest_step_7.png
06-30 17:26:30.799  2811  3084 I KASPRESSO: TEST STEP: "5. Verify that the goal was added" in AddNewGoalTest SUCCEED. It took 0 minutes, 3 seconds and 885 millis. 
06-30 17:26:30.799  2811  3084 I KASPRESSO: ___________________________________________________________________________
06-30 17:26:31.051  2811  3084 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.AddNewGoalTest/addNewGoalTest/AddNewGoalTest_step_5.png
06-30 17:26:31.051  2811  3084 I KASPRESSO: ---------------------------------------------------------------------------
06-30 17:26:31.051  2811  3084 I KASPRESSO: AFTER TEST SECTION
06-30 17:26:31.051  2811  3084 I KASPRESSO: ---------------------------------------------------------------------------
06-30 17:26:31.051  2811  3084 I KASPRESSO: ---------------------------------------------------------------------------
06-30 17:26:31.051  2811  3084 I KASPRESSO: TEST PASSED
06-30 17:26:31.051  2811  3084 I KASPRESSO: ---------------------------------------------------------------------------
06-30 17:26:31.053  2811  3084 I KASPRESSO: Dump logcat buffer to /data/user/0/com.starry.greenstash/files/logcat/com.starry.greenstash.tests.AddNewGoalTest/addNewGoalTest/TestLogcat.txt: logcat -b default -d -t "06-30 17:26:09.665" -s "KASPRESSO","KASPRESSO_TEST"
