"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47141","selectCurrencyTest","","Mon Jun 30 14:49:23 GMT 2025","failed","Mon Jun 30 14:50:11 GMT 2025","","com.starry.greenstash.tests.WelcomeTest","com.starry.greenstash.tests.WelcomeTest","selectCurrencyTest"
"","26883","editGoalTest","","Mon Jun 30 14:50:16 GMT 2025","passed","Mon Jun 30 14:50:43 GMT 2025","","com.starry.greenstash.tests.EditGoalTest","com.starry.greenstash.tests.EditGoalTest","editGoalTest"
"","27362","addNewGoalTest","","Mon Jun 30 14:48:48 GMT 2025","passed","Mon Jun 30 14:49:16 GMT 2025","","com.starry.greenstash.tests.AddNewGoalTest","com.starry.greenstash.tests.AddNewGoalTest","addNewGoalTest"
