--------- beginning of main
06-30 14:50:35.680  6983  7148 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'SavingGoalConfirmButton'); position: 0; useUnmergedTree: false.
06-30 14:50:35.723  6983  7148 I KASPRESSO: TEST STEP: "4. click save button" in EditGoalTest SUCCEED. It took 0 minutes, 0 seconds and 579 millis. 
06-30 14:50:35.723  6983  7148 I KASPRESSO: ___________________________________________________________________________
06-30 14:50:36.791  6983  7148 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.EditGoalTest/editGoalTest/EditGoalTest_step_4.png
06-30 14:50:36.791  6983  7148 I KASPRESSO: ___________________________________________________________________________
06-30 14:50:36.791  6983  7148 I KASPRESSO: TEST STEP: "5. check edited goal" in EditGoalTest
06-30 14:50:36.791  6983  7148 I KASPRESSO: ___________________________________________________________________________
06-30 14:50:36.791  6983  7148 I KASPRESSO: TEST STEP: "5.1. check goal title" in EditGoalTest
06-30 14:50:36.792  6983  7148 I KASPRESSO: Operation: Check=ASSERT_TEXT_EQUALS(description={null}).
06-30 14:50:36.792  6983  7148 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'GoalTitleText'); position: 0; useUnmergedTree: false.
06-30 14:50:38.676  6983  7148 I KASPRESSO: TEST STEP: "5.1. check goal title" in EditGoalTest SUCCEED. It took 0 minutes, 1 seconds and 885 millis. 
06-30 14:50:38.676  6983  7148 I KASPRESSO: ___________________________________________________________________________
06-30 14:50:39.149  6983  7148 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.EditGoalTest/editGoalTest/EditGoalTest_step_6.png
06-30 14:50:39.150  6983  7148 I KASPRESSO: ___________________________________________________________________________
06-30 14:50:39.150  6983  7148 I KASPRESSO: TEST STEP: "5.2. check target amount" in EditGoalTest
06-30 14:50:39.150  6983  7148 I KASPRESSO: Operation: Check=ASSERT_TEXT_CONTAINS(description={null}).
06-30 14:50:39.150  6983  7148 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'GoalStatusText'); position: 0; useUnmergedTree: false.
06-30 14:50:39.181  6983  7148 I KASPRESSO: TEST STEP: "5.2. check target amount" in EditGoalTest SUCCEED. It took 0 minutes, 0 seconds and 32 millis. 
06-30 14:50:39.181  6983  7148 I KASPRESSO: ___________________________________________________________________________
06-30 14:50:39.457  6983  7148 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.EditGoalTest/editGoalTest/EditGoalTest_step_7.png
06-30 14:50:39.466  6983  7148 I KASPRESSO: TEST STEP: "5. check edited goal" in EditGoalTest SUCCEED. It took 0 minutes, 2 seconds and 675 millis. 
06-30 14:50:39.466  6983  7148 I KASPRESSO: ___________________________________________________________________________
06-30 14:50:39.677  6983  7148 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.EditGoalTest/editGoalTest/EditGoalTest_step_5.png
06-30 14:50:39.677  6983  7148 I KASPRESSO: ---------------------------------------------------------------------------
06-30 14:50:39.677  6983  7148 I KASPRESSO: AFTER TEST SECTION
06-30 14:50:39.677  6983  7148 I KASPRESSO: ---------------------------------------------------------------------------
06-30 14:50:39.677  6983  7148 I KASPRESSO: ---------------------------------------------------------------------------
06-30 14:50:39.677  6983  7148 I KASPRESSO: TEST PASSED
06-30 14:50:39.677  6983  7148 I KASPRESSO: ---------------------------------------------------------------------------
06-30 14:50:39.678  6983  7148 I KASPRESSO: Dump logcat buffer to /data/user/0/com.starry.greenstash/files/logcat/com.starry.greenstash.tests.EditGoalTest/editGoalTest/TestLogcat.txt: logcat -b default -d -t "06-30 14:50:19.788" -s "KASPRESSO","KASPRESSO_TEST"
