--------- beginning of main
06-30 16:51:50.560  4440  4465 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'SavingGoalConfirmButton'); position: 0; useUnmergedTree: false.
06-30 16:51:50.624  4440  4465 I KASPRESSO: TEST STEP: "4. Save the updated goal" in EditGoalTest SUCCEED. It took 0 minutes, 0 seconds and 557 millis. 
06-30 16:51:50.624  4440  4465 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:51.599  4440  4465 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.EditGoalTest/editGoalTest/EditGoalTest_step_4.png
06-30 16:51:51.627  4440  4465 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:51.627  4440  4465 I KASPRESSO: TEST STEP: "5. Verify that the goal was updated" in EditGoalTest
06-30 16:51:51.627  4440  4465 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:51.627  4440  4465 I KASPRESSO: TEST STEP: "5.1. Check that the goal title is updated" in EditGoalTest
06-30 16:51:51.628  4440  4465 I KASPRESSO: Operation: Check=ASSERT_TEXT_EQUALS(description={null}).
06-30 16:51:51.628  4440  4465 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'GoalTitleText'); position: 0; useUnmergedTree: false.
06-30 16:51:53.429  4440  4465 I KASPRESSO: TEST STEP: "5.1. Check that the goal title is updated" in EditGoalTest SUCCEED. It took 0 minutes, 1 seconds and 802 millis. 
06-30 16:51:53.430  4440  4465 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:53.803  4440  4465 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.EditGoalTest/editGoalTest/EditGoalTest_step_6.png
06-30 16:51:53.804  4440  4465 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:53.804  4440  4465 I KASPRESSO: TEST STEP: "5.2. Check that the target amount is updated" in EditGoalTest
06-30 16:51:53.804  4440  4465 I KASPRESSO: Operation: Check=ASSERT_TEXT_CONTAINS(description={null}).
06-30 16:51:53.804  4440  4465 I KASPRESSO: ComposeInteraction: matcher: (hasAnyAncestorThat(Empty matcher)) && (TestTag = 'GoalStatusText'); position: 0; useUnmergedTree: false.
06-30 16:51:53.812  4440  4465 I KASPRESSO: TEST STEP: "5.2. Check that the target amount is updated" in EditGoalTest SUCCEED. It took 0 minutes, 0 seconds and 8 millis. 
06-30 16:51:53.812  4440  4465 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:54.093  4440  4465 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.EditGoalTest/editGoalTest/EditGoalTest_step_7.png
06-30 16:51:54.094  4440  4465 I KASPRESSO: TEST STEP: "5. Verify that the goal was updated" in EditGoalTest SUCCEED. It took 0 minutes, 2 seconds and 467 millis. 
06-30 16:51:54.094  4440  4465 I KASPRESSO: ___________________________________________________________________________
06-30 16:51:54.376  4440  4465 I KASPRESSO: Screenshot saved to /data/user/0/com.starry.greenstash/files/screenshots/com.starry.greenstash.tests.EditGoalTest/editGoalTest/EditGoalTest_step_5.png
06-30 16:51:54.377  4440  4465 I KASPRESSO: ---------------------------------------------------------------------------
06-30 16:51:54.377  4440  4465 I KASPRESSO: AFTER TEST SECTION
06-30 16:51:54.377  4440  4465 I KASPRESSO: ---------------------------------------------------------------------------
06-30 16:51:54.377  4440  4465 I KASPRESSO: ---------------------------------------------------------------------------
06-30 16:51:54.377  4440  4465 I KASPRESSO: TEST PASSED
06-30 16:51:54.377  4440  4465 I KASPRESSO: ---------------------------------------------------------------------------
06-30 16:51:54.378  4440  4465 I KASPRESSO: Dump logcat buffer to /data/user/0/com.starry.greenstash/files/logcat/com.starry.greenstash.tests.EditGoalTest/editGoalTest/TestLogcat.txt: logcat -b default -d -t "06-30 16:51:35.683" -s "KASPRESSO","KASPRESSO_TEST"
